product_no,category,name,price,add_date,views,more_information_image,represent_image
5918,77,접이식 탁구대 T-ONE 국제규격 15MM,299000,2021-09-23,548,https://redsports.co.kr//web/product/manual/S-T-ONE444.jpg,https://redsports.co.kr/web/product/big/202302/d3b19f6093c4db4d6696694837a39530.jpg
5919,77,접이식 탁구대 CHAMP 국제규격 18MM,379000,2021-08-21,471,https://redsports.co.kr//web/product/manual/S-CHAMP4.jpg,https://redsports.co.kr/web/product/big/202302/a9657e92d7a517cf1a75cd4b0baecfa9.jpg
6015,77,접이식 탁구대 GOLD 국제규격 25MM,589000,2021-01-08,223,https://redsports.co.kr//web/product/manual/S-GOLD4.jpg,https://redsports.co.kr/web/product/big/202302/7a31de7b4cb003929960d59cfc310226.jpg
6086,77,챔피온 T-1S 국제규격 탁구대,435000,2022-02-22,447,https://redsports.co.kr//web/product/manual/S-T1S.jpg,https://redsports.co.kr/web/product/big/202103/633430dbc78c7298538d9626009e9d65.png
6088,77,챔피온 H-30 국제규격 탁구대,595000,2022-08-15,355,https://redsports.co.kr//web/product/manual/S-H30-1.jpg,https://redsports.co.kr/web/product/big/202103/c5bb4674825f6fe69bb2f75b84929762.jpg
6089,77,챔피온 H-50 레드에디션 국제규격 탁구대,695000,2021-10-18,142,https://redsports.co.kr//web/product/manual/S-H50.jpg,https://redsports.co.kr/web/product/big/202103/9403a83cfded145a4c4c05308d1c24f4.jpg
5920,77,챔피온 바운드프로 S-9 탁구대,730000,2022-02-18,487,https://redsports.co.kr//web/product/manual/S-BP-S9-44.jpg,https://redsports.co.kr/web/product/big/201810/f0151b4c2ad4bbf3e245646b36463663.jpg
5852,77,챔피온 바운드프로 S-11 탁구대,820000,2022-06-30,190,https://redsports.co.kr//web/product/manual/S-BP-S11-5.jpg,https://redsports.co.kr/web/product/big/201810/f0151b4c2ad4bbf3e245646b36463663.jpg
5851,77,챔피온 바운드프로 S-33 탁구대,950000,2023-03-20,755,https://redsports.co.kr//web/product/manual/S-BP-S33-4.jpg,https://redsports.co.kr/web/product/big/201810/3068fc047a278c5b81c57bff770ee7c2.jpg
6001,77,챔피온 바운드프로 9000 탁구대,1030000,2021-10-15,607,https://redsports.co.kr//web/product/manual/S-BP-9000-4.jpg,https://redsports.co.kr/web/product/big/201911/4a94890bef8fd1d32e8edad2189c8f3e.jpg
5855,77,챔피온 바운드프로 9000 PLUS 탁구대,1100000,2021-06-20,385,https://redsports.co.kr//web/product/manual/S-BP-9000PLUS-4.jpg,https://redsports.co.kr/web/product/big/20200515/c605b31b7a0729c75383ace40f4d3346.jpg
5853,77,챔피온 바운드프로 SUPER 9000 탁구대,1270000,2021-05-30,951,https://redsports.co.kr//web/product/manual/S-BP-SUPER9000-4.jpg,https://redsports.co.kr/web/product/big/201810/823b632c6aa3ce5c3bb4f9428270c250.jpg
5856,77,챔피온 바운드프로 PRO-9 탁구대,1490000,2022-11-16,100,https://redsports.co.kr//web/product/manual/S-BP-PRO-9aaa.jpg,https://redsports.co.kr/web/product/big/201810/77f1c2bb43463ad8383e68d11abb29d0.jpg
5857,77,챔피온 바운드프로 PRO-9S 탁구대,1690000,2022-07-09,966,https://redsports.co.kr//web/product/manual/S-BP-PRO-9Saaa.jpg,https://redsports.co.kr/web/product/big/201810/77f1c2bb43463ad8383e68d11abb29d0.jpg
6090,77,챔피온 바운드프로 PRO-10 탁구대,2000000,2021-02-10,230,https://redsports.co.kr//web/product/manual/S-PRO10.jpg,https://redsports.co.kr/web/product/big/202103/0cb1ba1d3d20a9b6440dcc1f0becc803.jpg
5736,77,티마운트 에코탑 스마트i 탁구대,620000,2021-03-07,791,https://redsports.co.kr//web/product/manual/S-SMARTI1.jpg,https://redsports.co.kr/web/product/big/20200422/67d7ce0981a667fd188bdf4f70341fb5.jpg
5735,77,티마운트 에코탑 스마트 탁구대,730000,2021-11-25,886,https://redsports.co.kr//web/product/manual/S-SMART1.jpg,https://redsports.co.kr/web/product/big/20200422/43efbd702590dcd1b724329ac44aec5e.jpg
5734,77,티마운트 에코탑 러브 탁구대,920000,2023-04-17,872,https://redsports.co.kr//web/product/manual/S-LOVE1.jpg,https://redsports.co.kr/web/product/big/20200422/d3c1d58c8854457e96e594ae736c42ee.jpg
5732,77,티마운트 에코탑 클럽 탁구대,1000000,2021-06-06,812,https://redsports.co.kr//web/product/manual/S-CLUB1.jpg,https://redsports.co.kr/web/product/big/20200422/8e4a1647c4952c6ae73e5ac160f283e9.jpg
5733,77,티마운트 에코탑 어드밴스 탁구대,1200000,2021-05-14,937,https://redsports.co.kr//web/product/manual/S-ADVANCE1.jpg,https://redsports.co.kr/web/product/big/20200422/fb4fbf42e1fa7c2fa29db3b33ff2f826.jpg
5731,77,티마운트 에코탑 에이스 탁구대,1400000,2021-02-01,384,https://redsports.co.kr//web/product/manual/S-ACE1.jpg,https://redsports.co.kr/web/product/big/20200422/c5d2de2eadc1f65576a4bc211aed561c.jpg
6024,77,티마운트 에코탑 X7 탁구대,1650000,2023-01-14,783,https://redsports.co.kr//web/product/manual/S-X-71.jpg,https://redsports.co.kr/web/product/big/20200422/1a30de6fa4d5d775ed2606e12d94c45f.jpg
5917,77,후이팡 S7-PRO 탁구 연습용 로봇,639000,2021-07-26,632,https://redsports.co.kr//web/product/manual/S-S7-PRO.jpg,https://redsports.co.kr/web/product/big/201909/4274c2d83d3806967cbc606f30ba32ca.jpg
5716,77,후이팡 JT-A 탁구 연습용 로봇,445000,2022-10-14,399,https://redsports.co.kr//web/product/manual/S-JT-A.jpg,https://redsports.co.kr/web/product/big/20200609/6407ca2cf63a0ddf953993d4517e30e1.jpg
4364,77,챔피온 프로메이커2 탁구 연습용 로봇,1490000,2022-01-11,864,https://redsports.co.kr//web/product/manual/S-PROMAKER2.jpg,https://redsports.co.kr/web/product/big/PROMAKET2.jpg
4363,77,챔피온 프로메이커1 탁구 연습용 로봇,1290000,2021-03-17,100,https://redsports.co.kr//web/product/manual/S-PROMAKER1.jpg,https://redsports.co.kr/web/product/big/PROMAKET1.jpg
6190,77,엑시옴 i7 트윈헤드 탁구 연습용 로봇,1650000,2022-11-27,861,https://redsports.co.kr//web/product/manual/S-I7.jpg,https://redsports.co.kr/web/product/big/202109/d81c4cbc52f53811413c202d5d2852bc.jpg
4321,76,챔피온 V1.2P 펜홀더 탁구라켓 ITTF공인러버,15000,2022-11-08,356,https://redsports.co.kr//web/product/manual/S-V 1.2P.jpg,https://redsports.co.kr/web/product/big/202103/8202d37fc440e6e6a692a9088c45971f.png
4320,76,챔피온 V1.8P 펜홀더 탁구라켓 ITTF공인러버,22000,2022-09-18,68,https://redsports.co.kr//web/product/manual/S-V 1.8P.jpg,https://redsports.co.kr/web/product/big/202103/f8309bca887578364ba26c98d26af61d.png
4319,76,챔피온 V2.5P 펜홀더 탁구라켓 ITTF공인러버,24000,2021-03-28,499,https://redsports.co.kr//web/product/manual/S-V 2.5P.jpg,https://redsports.co.kr/web/product/big/202103/29aa7d8e8495a2dd31cdf09ab7868f76.png
4318,76,챔피온 V3.5P 펜홀더 탁구라켓 ITTF공인러버,32000,2021-02-27,61,https://redsports.co.kr//web/product/manual/S-V 3.5P.jpg,https://redsports.co.kr/web/product/big/202103/ba652cd1da27612bfe992716571cccc9.png
4315,76,챔피온 M4.5P 펜홀더 탁구라켓 ITTF공인러버,38000,2022-06-06,745,https://redsports.co.kr//web/product/manual/S-M 4.5P.jpg,https://redsports.co.kr/web/product/big/202103/64e698cec3b3e18d60a47931781b40ad.jpg
4314,76,챔피온 M6.0P 펜홀더 탁구라켓 ITTF공인러버,47000,2021-09-25,139,https://redsports.co.kr//web/product/manual/S-M 6.0P.jpg,https://redsports.co.kr/web/product/big/202103/8e96ebbf755dc36a413ab49d1fb3882a.png
4313,76,챔피온 M8.0P 펜홀더 탁구라켓 ITTF공인러버,64000,2022-07-29,468,https://redsports.co.kr//web/product/manual/S-M 8.0P.jpg,https://redsports.co.kr/web/product/big/202103/c06fad5334d5e244598d69f7c1594794.png
4324,76,챔피온 V1.5S 쉐이크 탁구라켓 ITTF공인러버,17000,2021-09-28,552,https://redsports.co.kr//web/product/manual/S-V 1.5S.jpg,https://redsports.co.kr/web/product/big/202103/c66ebe56905d0946dc3bd3c5885155c2.png
4323,76,챔피온 V2.0S 쉐이크 탁구라켓 ITTF공인러버,22000,2022-11-19,639,https://redsports.co.kr//web/product/manual/S-V 2.0S.jpg,https://redsports.co.kr/web/product/big/202103/f338e8d6d9eac9b74bf11047684a0223.png
4322,76,챔피온 V3.0S 쉐이크 탁구라켓 ITTF공인러버,28000,2021-10-05,346,https://redsports.co.kr//web/product/manual/S-V 3.0S.jpg,https://redsports.co.kr/web/product/big/202103/1d3b6fee2ead72bb1e4da94682417d6f.png
4317,76,챔피온 M4.0S 쉐이크 탁구라켓 ITTF공인러버,35000,2021-05-31,620,https://redsports.co.kr//web/product/manual/S-M 4.0S.jpg,https://redsports.co.kr/web/product/big/202103/ca6d5a61f286d02b141ccb608a3aaba1.png
5543,76,챔피온 M5.5S 쉐이크 탁구라켓 ITTF공인러버,48000,2022-11-15,304,https://redsports.co.kr//web/product/manual/S-M5.5S.jpg,https://redsports.co.kr/web/product/big/202103/3d7ba405498534790eaf39c6925f46f2.png
5544,76,챔피온 M7.0S 쉐이크 탁구라켓 ITTF공인러버,55000,2023-02-03,307,https://redsports.co.kr//web/product/manual/S-M7.0S.jpg,https://redsports.co.kr/web/product/big/202103/05efd249bc5bd5820e9618f0c466b531.png
4316,76,챔피온 M9.0S 쉐이크 탁구라켓 ITTF공인러버,69000,2022-03-13,174,https://redsports.co.kr//web/product/manual/S-M 9.0S.jpg,https://redsports.co.kr/web/product/big/202103/885a408768a89c5ec68dc4332cf6a5af.png
6191,76,버터플라이 티모볼ALC + 엑시옴 시그마3 목판러버 세트,279000,2021-08-14,249,https://redsports.co.kr//web/product/manual/S-TS.jpg,https://redsports.co.kr/web/product/big/202109/03fb51925d54ee8a3c9e8850aded8c4c.jpg
6165,76,엑시옴 스트라디바리우스+오메가2 러버목판세트,189000,2021-10-27,889,https://redsports.co.kr//web/product/manual/S-SB1.jpg,https://redsports.co.kr/web/product/big/202109/aa20e83346a2678decb093fcbf0db788.jpg
6166,76,엑시옴 이그니토+오메가3 러버목판세트,229000,2021-05-31,731,https://redsports.co.kr//web/product/manual/S-IG1.jpg,https://redsports.co.kr/web/product/big/202109/f67f9e988e90a2191d95e64ce32ad37f.jpg
6167,76,엑시옴 악셀로+오메가3 러버목판세트,249000,2021-10-22,212,https://redsports.co.kr//web/product/manual/S-AS1.jpg,https://redsports.co.kr/web/product/big/202109/bbeb935d030828271566ae63753f4e51.jpg
6041,76,36.5 ALX+오메가3 목판/러버세트,249000,2022-12-26,221,https://redsports.co.kr//web/product/manual/S-XIOM1.jpg,https://redsports.co.kr/web/product/big/202007/ab0a3dbf49be3fe7b469cd5b6657ec6f.jpg
5792,76,엑시옴 HX+오메가2 목판러버 세트,189000,2022-06-10,937,https://redsports.co.kr//web/product/manual/S-HX.jpg,https://redsports.co.kr/web/product/big/201808/33c80f8198194c25a75abc4aa15b0413.jpg
5791,76,엑시옴 HX프로+오메가3 목판러버 세트,229000,2021-09-30,553,https://redsports.co.kr//web/product/manual/S-HX-PRO.jpg,https://redsports.co.kr/web/product/big/201808/4076eca1c7c2fa334f3c64452f08e784.jpg
5793,76,엑시옴 파워히노키승+오메가2 목판러버 세트,149000,2022-12-30,125,https://redsports.co.kr//web/product/manual/S-HINOKI.jpg,https://redsports.co.kr/web/product/big/201808/23db1e82902a582bdfe4d6a348ce0b52.jpg
5794,76,엑시옴 히비오O+오메가3 목판러버 세트,239000,2021-09-28,886,https://redsports.co.kr//web/product/manual/S-HIBIO.jpg,https://redsports.co.kr/web/product/big/201808/b84bf0bffbabb88463b289fef88cddd7.jpg
6091,78,엑시옴V 3입 탁구공 경기용,7000,2021-01-30,165,https://redsports.co.kr//web/product/manual/S-V3.jpg,https://redsports.co.kr/web/product/big/202103/7c30b1b5cbc759500e3af846227a5f4e.jpg
6092,78,엑시옴V 6입 탁구공 경기용,12000,2022-10-23,202,https://redsports.co.kr//web/product/manual/S-V6.jpg,https://redsports.co.kr/web/product/big/202103/5f6e9a77cc3c65a4d622d7d51e36a07e.jpg
4333,78,챔피온 프로트레이닝 12개입 탁구공 뉴폴리공,10000,2022-03-31,120,https://redsports.co.kr//web/product/manual/S-PREMIUM40-2.jpg,https://redsports.co.kr/web/product/big/201810/382c5c290b65cd7f6f2b8a0bc59b9af7.jpg
